Researcher Name,Processed Skills
"Regan, Elizabeth A.",adjunct professor; also adjunct; also serf; appointed national; arnold school; assembly street; associate professor; board chair; board director; center eastern; chair department; chair health; chair rhio; college business; connecticutdr elizabeth; connecticutdr elizabeth regan chair department integrated information technology associate professor health information technology also adjunct professor arnold school public health prior joining usc july; connecticutm; coordinating council; council kentucky; department information; department integrated; director northeast; donna smith; dr regan; eastern kentucky; elizabeth regan; elmer donna; elmer donna smith endowed chair health system management two year serf board director northeast kentucky regional health information organization neky rhio; endowed chair; exchange faculty; extension center; faculty kentucky; first board; five year; founding member; founding member first board chair rhio also serf regional extension center eastern kentucky dr regan served five year coordinating council kentucky state health information exchange faculty kentucky medical school rural physician leadership program wa recently appointed national himss innovation committee; health information; health prior; health system; himss innovation; information exchange; information organization; information system; information technology; innovation assembly; innovation assembly street; innovation committee; integrated information; joining usc; kentucky; kentucky dr; kentucky medical; kentucky regional; kentucky state; leadership program; management two; medical school; member first; morehead state; national himss; neky rhio; northeast kentucky; organization neky; physician leadership; prior joining; professor arnold; professor health; program wa; public health; recently appointed; regan chair; regan served; regional extension; regional health; rhio also; rural physician; sc; school public; school rural; serf board; serf regional; served chair; served chair department information system; served five; smith endowed; state health; suite; system management; technology also; technology associate; two year; usc july; wa recently; year; year coordinating; year serf
"Reifsnider, Kenneth ",aging; behavior fuel; cell science; damage tolerance; damage tolerance strength life relationship material system performance life prognosis; dr reifsnider; dr reifsnider durability; fuel cell; life prognosis; life relationship; long term; long term behavior fuel cell science engineering; material state; material state change; material system; performance life; reifsnider durability; relationship material; science engineering; state change; strength life; system performance; term behavior; tolerance strength
"Rekleitis, Ioannis",cooperative localization; coverage; marine robotics; perception; slam
"Reynolds, Tony ",dr reynolds; dr reynolds friction stir welding; experimental micro; experimental micro mechanic; fatigue fracture; fractographic analysis; friction stir; micro mechanic; quantitative fractographic; quantitative fractographic analysis; reynolds friction; stir welding
"Rhodes, Curtis ",aided design; computational fluid; computational fluid dynamic; computer aided; dr rhodes; dr rhodes computer aided design; engineering manufacturing; fluid dynamic; rhodes computer
"Ritter, James A.",adsorption; drug targeting; electrochemistry; magnetic drug; magnetic drug targeting; material; separation
"Rizos, Dimitris",analysis design; analysis multi; area structural; area structural mechanic emphasis railway highway infrastructure; bridge dr; bridge engineering; civilian military; civilian military bridge dr rizos expertise area structural mechanic modeling emphasis development implementation computational method bem; computational method; dem; design freight; development implementation; dr rizos; emphasis development; emphasis railway; engineering high; etc iii; etc iii bridge engineering high performance material civilian military application; expertise area; fem; high performance; high speed; high speed rail system; highway infrastructure; hybrid method; hybrid method problem wave propagation; ii analysis; iii bridge; implementation computational; infrastructure bridge; interaction problem; material civilian; mechanic emphasis; mechanic modeling; method bem; method problem; military application; military bridge; modeling emphasis; multi phase; passenger high; passenger high speed railway infrastructure bridge; performance material; phase medium; problem ii; problem wave; rail system; rail trackbed; railway highway; railway infrastructure; rizos expertise; soil interaction; soil structure; soil structure interaction; speed rail; speed railway; structural dynamic; structural mechanic; structure interaction; track; trackbed soil; train rail; train rail trackbed soil interaction problem ii analysis design freight; transient analysis; transient analysis multi phase medium; tunnel; wave propagation
"Roberts, Elwyn",concurrent engineering; dr robert; dr robert material performance nuclear reactor; manufacturing concurrent; manufacturing concurrent engineering; material performance; nuclear reactor; performance nuclear; product design; robert material
"Roberts, Kenneth L",catalysis; fluid transport; fluid transport property; nanomaterials; transport property
"Rocheleau, David ",aided engineering; also done; also performed; also performed dr rocheleau hold several patent; analysis performed; area product; balance plant; cell system; company wide; component design; computer aided; concept modeled; design concept; design epicyclic; design group; design issue; design machine; design software; done helping; done work; dr rocheleau; dr rocheleau group ha machine design machine component design group ha done work optimizing design epicyclic gear train ensure long life reduced noise work ha also done helping small medium size company wide area product design issue design concept modeled using pro engineer design software analysis performed variety computer aided engineering tool group ha done work modeling balance plant pem fuel cell system overall design issue involving kinematic dynamic mechanism; dynamic mechanism; engineer design; engineering tool; ensure long; epicyclic gear; fuel cell; gear train; group ha; ha also; ha done; ha machine; helping small; hold several; innovation device; involving kinematic; issue design; issue involving; kinematic dynamic; life reduced; long life; machine component; machine design; medium size; modeled using; modeling balance; new product; noise work; optimizing design; overall design; pem fuel; performed dr; performed variety; plant pem; primarily new; primarily new product innovation device; pro engineer; product design; product innovation; prosthetic device; reduced noise; robot prosthetic; robot prosthetic device; rocheleau group; rocheleau hold; several patent; size company; small medium; software analysis; system overall; tool group; train ensure; using pro; variety computer; wide area; work ha; work modeling; work optimizing
"Rose, John R. ",advanced concept; alexander von; alexander von humboldt foundation; area bioinformatics; author technical; bioinformatics core; bmft german; bmft german nsf equivalent; chemistry conducted; commission higher; computational chemistry; computational chemistry conducted funded nsf; computational science; computational science area bioinformatics; concept niac; conducted funded; core major; currently member; currently member ieee author technical paper bioinformatics; dai multiagent; dai multiagent system; de novo; director sc; dod onr; education nasa; fellow wa; focus group; formerly director; funded nsf; funding support; german nsf; group de; higher education; humboldt foundation; ieee author; inbre bioinformatics; institute advanced; machine intelligence; major new; member ieee; multiagent system; nasa; nasa institute; new focus; niac fellow; nih; normative reasoning; normative reasoning planning; novo peptide; nsf equivalent; nsf funding; paper bioinformatics; peptide sequencing; reasoning planning; received nsf; recently received; sc inbre; science area; sequencing recently; support effort; technical paper; von humboldt; wa formerly; well commission; well commission higher education nasa institute advanced concept niac fellow wa formerly director sc inbre bioinformatics core major new focus group de novo peptide sequencing recently received nsf funding support effort
"Sabalowsky, Andrew",anaerobic process; biofuel production; bioremediation hazardous; centered fluid; dr sabalowsky; dr sabalowsky prior expertise anaerobic process; energy technology; expertise anaerobic; fermentable product; fermentable product recently; fluid flow; fuel cell; ha methane; ha methane hydrogen production; hazardous xenobiotic; hydrogen production; methane hydrogen; micro wind; micro wind turbine; microbial fuel; microbial fuel cell; molecule biofuel; prior expertise; product recently; relate bioremediation; renewable energy; renewable energy technology centered fluid flow; sabalowsky prior; solar chimney; specifically relate; specifically relate bioremediation hazardous xenobiotic molecule biofuel production; technology centered; wave attenuation; wind turbine; xenobiotic molecule
"Sadati, Monirosadat (Sanaz)",ability convert; active micromotors; actuation; amirkabir technology; among natural; anisotropic component; application drug; application including; approach study; architectural feature; artificial active; artificial active micromotors developed transduce local energy directed motion propulsion artificial micromotors envisioned broad range application drug loading; artificial micromotors; assembly soft; assistant professor; autonomous micromachines; bacteria ability; biomechanics nature; biosensing common; biosensing common feature among natural microswimmers bacteria ability convert energy motion regulate self propulsion response external stimulus inspired biomechanics nature; bottom approach; broad range; capable leading; cargo transport; chicago; common feature; complex environment; component capable; condition operation; controlled cargo; controlled cargo transport; controlled release; controlled release vicinity cell; convert energy; design autonomous; designed broad; developed transduce; directed motion; drug delivery; drug loading; dynamic; efficiently realistic; emphasis anisotropic; emphasis anisotropic component capable leading new; energy directed; energy motion; engineer responsive; engineer responsive material unique architectural feature designed broad range application including tissue engineering; environment design; environment explore; envisioned broad; eth zurich; explore micro; external stimulus; feature among; feature designed; harvard; including tissue; inspired biomechanics; january postdoctoral; january postdoctoral associate; lab pursue; leading new; local energy; macroscopic property; many application; material science; material unique; micro rheology; micromachines navigate; micromotors developed; micromotors envisioned; micromotors move; micromotors move complex environment explore micro rheology microswimmers complex environment design autonomous micromachines navigate efficiently realistic condition operation; microswimmers bacteria; microswimmers complex; motion propulsion; motion regulate; move complex; name many; natural microswimmers; navigate efficiently; phd; polymer engineering; postdoctoral associate; property systematic; propulsion artificial; propulsion response; pursue bottom; range application; real time; real time structure rheology; realistic condition; regulate self; release vicinity; remediation name; response external; responsive material; rheology microswimmers; sadati lab; sadati lab pursue bottom approach study structure; self assembly; self assembly soft material; self propulsion; soft material; stimulus inspired; structure rheology; study self; study structure; systematic study; time structure; tissue engineering; topological defect; transduce local; tunable macroscopic; tunable macroscopic property systematic study self assembly; unique architectural; vicinity cell; water remediation; water remediation name many application
"Sahin, Alphan ",signal processing; wireless communication
"Santi, Enrico",acsl; advanced electrical; area power; based modeling; based tool; bed support; come contact; come contact power electronics thanks power electronics; contact power; control simulation; control simulation advanced electrical power distribution system; cook microwave; cordless drill; current modeling; delivered maximum; delivered maximum efficiency; development virtual; device particular; device test; distribution system; drive car; electrical power; electrical system; electricity needed; electricity needed run thing use everyday processed; electronic device; electronics may; electronics thanks; electronics think; etc hardware; etc hardware loop simulation electrical system; everyday processed; filtered; hardware loop; hole cordless; input multiple; interaction power; involved development; language spice; listen stereo; long term; loop simulation; main streetcolumbia; make hole; make hole cordless drill; maximum efficiency; may interaction; minimal weight; modeling power; multiple simulation; needed run; particular involved; physic based; physic based modeling power semiconductor device particular involved development virtual test bed; power distribution; power electronic; power electronics; power semiconductor; power system; prototyping power; rapid prototyping; run thing; saber; santi long; sc santi; sc santi long term area power electronics may interaction power electronics think drive car; semiconductor device; simulation advanced; simulation based; simulation based tool rapid prototyping power system power electronic device test bed support input multiple simulation language spice; simulation electrical; simulation language; size minimal; smallest size; smallest size minimal weight current modeling; support input; swearingenroom main; swearingenroom main streetcolumbia; system power; talk type; talk type telephone; term area; test bed; thanks power; thing use; think drive; tool rapid; type telephone; use computer; use everyday; virtual test; weight current
"Sasanakul, Inthuorn",geotechnical engineering
"Schooley, Benjamin",design science; health; health informatics
"Shazly, Tarek ",accommodate inherent; across material; action potential; adhesion strength; adhesion tissue; advanced material; advancement endovascular; agency begun; application area; applying continuum; applying continuum mechanical principle explain intra vessel variation geometry; approach needed; area characterization; area experimental; area impactful; area interaction; area interaction implanted polymeric material soft tissuesmy early work wa focused understanding soft tissue material interaction purpose optimizing surgical sealant performance publication emerged line inquiry impacted field two distinct way first; assessment; balloon steadily; based computational; basis engineering; begun expect; biocompatibility power; biomechanical study; blood vesselsthe; cell normal; circulatory system; clearly explain; clinical practice; coated balloon; complexity face; composition; compromising material; computational model; consideration hemodynamics; constitutive mechanical; construct exhibit; continued advancement; continuum mechanical; critical region; data model; degradation erosion; demonstration adhesion; deployment strategy; design deployment; design second; design strategy; development finite; device degradation; device degradation erosion kinetics accommodate inherent complexity face rapid device development; device development; disease state; distinct way; drug coated; drug coated balloon steadily evolved past year multidisciplinary approach needed design; drug eluting; drug pharmacokinetics; early work; elaboration thus; element based; eluting stent; emerged line; emergent device; endovascular technologiesendovascular; endovascular technology; engineered blood; engineered construct; engineering vascular; enhance adhesion; enhanced matrix; environment mechanosensitive; erodible scaffold; erosion kinetics; essential quantifying; established novel; evaluate emergent; evaluate emergent device; evolved past; exhibit enhanced; expect nearly; experimental theoretical; explain intra; explain mechanism; exploited advanced; face rapid; facilitate continued; field demand; field two; finite element; focused development; focused understanding; generalized across; ha focused; identification constitutive; impacted field; impactful term; implanted polymeric; inherent complexity; initial demonstration; inquiry impacted; interaction implanted; interaction purpose; intra vessel; introducing tissue; introducing tissue engineered construct exhibit enhanced matrix elaboration thus potential vascular substitute; introduction clinical; kinetics accommodate; line inquiry; local environment; material biocompatibility; material design; material interaction; material mechanic; material soft; material system; matrix elaboration; mechanical model; mechanical principle; mechanically mediated; mechanism action; mechanosensitive vascular; mediated vascular; meet field; model clearly; model design; model previously; model vascular; modeling endovascular; modeling endovascular technologiesendovascular technology drug eluting stent; multidisciplinary approach; native engineered; nearly require; needed design; new technology; normal disease; novel design; optimize; optimizing surgical; past year; performance publication; phenomenon exploited; polymeric material; potential risk; potential vascular; power strategy; practice area; predictive computational; previously understudied; principle explain; property; provided initial; provided initial demonstration adhesion tissue specific phenomenon exploited advanced material design second; providing basis; providing basis engineering vascular tissue substitute publication area impactful term providing data model previously understudied yet critical region circulatory system; providing data; publication area; publication emerged; publication established; purpose optimizing; quantifying local; rapid device; region circulatory; regulatory agency; regulatory agency begun expect nearly require predictive computational model clearly explain mechanism action potential risk new technology meet field demand; related publication; related publication established novel design strategy enhance adhesion strength without compromising material biocompatibility power strategy generalized across material system surgical sealant application area characterization; require predictive; requiring consideration; risk new; safe introduction; sealant application; sealant performance; soft tissue; soft tissuesmy; specific phenomenon; steadily evolved; strategy enhance; strategy facilitate; strategy generalized; strength without; study native; substitute publication; surgical sealant; system surgical; technologiesendovascular technology; technology drug; technology meet; technology safe; term providing; theoretical biomechanical; thus potential; tissue engineered; tissue essential; tissue material; tissue remodeling; tissue specific; tissue substitute; tissuesmy early; two distinct; typically requiring; typically requiring consideration hemodynamics; understanding mechanically; understanding mechanically mediated vascular tissue remodeling; understanding soft; understudied yet; variation geometry; vascular cell; vascular substitute; vascular tissue; vessel variation; vesselsthe identification; wa focused; way first; without compromising; work ha; work ha focused development finite element based computational model design deployment strategy facilitate continued advancement endovascular technology safe introduction clinical practice area experimental theoretical biomechanical study native engineered blood vesselsthe identification constitutive mechanical model vascular tissue essential quantifying local environment mechanosensitive vascular cell normal disease state; work wa; year multidisciplinary; yet critical
"Shepherd, Jeremiah",csce course; jj shepherd; jj shepherd teach csce course; shepherd teach; teach csce
"Sheth, Amit",artificial intelligence; big smart; big smart data; cognitive perceptual; knowledge graph; knowledgeinfused learning; perceptual comput; semantic cognitive; semantic cognitive perceptual comput; smart data
"Shimpalee, Sirivatch",area renewable; bioenergy expertise; bioenergy expertise use multi scale multi dimensional modeling combine electrochemistry understand physic inside complex system particularly transport phenomenon; bradley; chiang mai; columbia; combine electrochemistry; complex system; current area; dimensional modeling; electrochemistry understand; energy including; energy storage; expertise use; fuel cell; high temperature; high temperature thermal system; horizon main; horizon main streetcolumbia; including fuel; inside complex; main streetcolumbia; modeling combine; multi dimensional; multi scale; particularly transport; physic inside; renewable energy; sc; scale multi; shimpalee current; shimpalee current area renewable energy including fuel cell; system particularly; temperature thermal; thailand; thermal system; transport phenomenon; understand physic; use multi
"Simin, Grigory",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Smoak, Wilson",capstone design; career design; coordinator capstone; design course; design digital; digital electronics; elct electrical; elct electrical engineering department; electrical engineering; engineering department; following successful; following successful career design digital electronics; instructor coordinator; recently intel; smoak instructor; successful career; wilson smoak; wilson smoak instructor coordinator capstone design course
"Sockalingam, Subramani ",composite; computational mechanic; element analysis; experimental mechanic; finite element; finite element analysis
"Spinale, Frank G.",advance understanding; also entrepreneur; also ha; also ha peer reviewed publication leading cardiovascular journal fellow several professional society; american college; american heart; area cardiovascular; association american; biotechnology company; board seven; business technology; cardiac surgery; cardiac working; cardiology ha; cardiovascular journal; cardiovascular remodeling; cardiovascular scientist; cardiovascular translational; cause death; cause heart; clinical study; clinical study ha working advance understanding potential treatment major cause heart failure patient also entrepreneur patent nih small business technology transfer grant develop microdialysis microfluidics delivery system cardiac surgery additionally; collaborate department; college cardiology; company biotechnology; company credit; conference dr; congress conference; congress conference dr spinale director cardiovascular translational center; consultant various; death disability; decade mechanistic; delivery system; department faculty; develop microdialysis; directed translational; director cardiovascular; ditorial board; dr spinale; dr spinale serf ditorial board seven prestigious scientific journal consultant various pharmaceutical company biotechnology company credit; effort thematic; entrepreneur patent; faculty som; failure patient; fellow several; focus upon; francis spinale; grant develop; ha directed; ha directed translational effort thematic area cardiovascular remodeling particular focus upon heart failure; ha invited; ha peer; ha pioneered; ha pioneered various project cardiac working collaborate department faculty som va; ha working; heart association; heart failure; including american; including american heart association american college cardiology ha invited present nationally internationally major scientific meeting; internationally major; internationally renowned; internationally renowned cardiovascular scientist; invited present; journal consultant; journal fellow; leading cardiovascular; main cause; main cause death disability; major cause; major scientific; md; microdialysis microfluidics; microfluidics delivery; nationally internationally; nih small; particular focus; past two; past two decade mechanistic; patent nih; patient also; peer reviewed; pharmaceutical company; phd; pioneered various; potential treatment; present nationally; prestigious scientific; professional society; project cardiac; publication leading; remodeling particular; renowned cardiovascular; reviewed publication; scientific journal; scientific meeting; serf ditorial; seven prestigious; several professional; small business; som va; spinale director; spinale serf; study ha; surgery additionally; system cardiac; technology transfer; thematic area; transfer grant; translational; translational center; translational effort; treatment major; two decade; understanding potential; upon heart; various pharmaceutical; various project; working advance; working collaborate
"Srivastava, Biplav",artificial intelligence; city water; health; service; smarter city; smarter city water; traffic
"Stanford, Thomas G.",centerroom main; engineering centerroom; engineering centerroom main streetcolumbia; main streetcolumbia; math; michigan; sc
"Stiffler, Nick",robotics
"Sudarshan, Tangali S.",main streetcolumbia; sc sudarshan; sc sudarshan specialization; sudarshan specialization; swearingenroom main; swearingenroom main streetcolumbia
"Summers, Bill ",addition program; advanced energy; also co; also managed; also member; also organized; analyze bed; analyze develop; annual hydrogen; assess feasibility; associated technology; bed development; bed performance; board director; bus bus; bus wa; cell mining; cell propulsion; cell vehicle; center srtc; chaired national; chairman first; chairman national; charter member; charter member recently served chairman first annual hydrogen storage workshop; co chaired; code standard; commercial code; commercial service; company wsrc; container hydrogen; currently chairman; develop emerging; develop industrial; developing first; development hydrogen; development mathematical; development project; development world; doe ne; doe office; doe oit; dr summer; dr summer involved development hydrogen storage material associated technology involves engineering hydrogen storage bed development mathematical model analyze bed performance; dr summer manager hydrogen program within hydrogen technology laboratory; dr summer principal investigator three year study assess feasibility nuclear hydrogen production doe office nuclear energy; electric transit; emerging technology; energy system; engineering hydrogen; enhancement currently; establish plan; experience field; experience new; extensive experience; feasibility nuclear; field advanced; first annual; first commercial; first hybrid; first hydrogen; focused hydrogen; fuel cell; funded doe; future program; group developing; ha extensive; ha led; ha westinghouse; heat transfer; help establish; hybrid hydrogen; hydride container; hydride storage; hydrogen association; hydrogen electric; hydrogen production; hydrogen program; hydrogen storage; hydrogen technology; hydrogen vehicle; including heat; including heat transfer enhancement currently chairman national working group developing first commercial code standard metal hydride container hydrogen storage dr summer also member site representative national hydrogen association; including year; including year experience field advanced energy system ha westinghouse savannah river company wsrc since dr summer ha led numerous program analyze develop emerging technology wa program manager development world first hybrid hydrogen electric transit bus bus wa first hydrogen vehicle commercial service; industrial fuel; industry future; institute board; investigator three; involved development; involves engineering; largest onboard; led numerous; major national; major national meeting focused hydrogen storage dr summer also co chaired national workshop help establish plan nuclear hydrogen production doe ne; managed fuel; managed project; manager development; manager hydrogen; material associated; mathematical model; meeting focused; member recently; member site; metal hydride; mining vehicle; model analyze; national hydrogen; national meeting; national working; national workshop; ne addition; new product; nuclear energy; nuclear hydrogen; numerous program; office nuclear; oit industry; onboard metal; organized managed; plan nuclear; principal investigator; product development; production doe; program analyze; program currently; program management; program manager; program within; project develop; project funded; project management; propulsion institute; recently served; representative national; represents srtc; represents srtc fuel cell propulsion institute board director; river company; river technology; savannah river; savannah river technology center srtc ha extensive experience new product development project management; science technology; science technology doe ne addition program management; served chairman; since dr; site representative; solid state; srtc fuel; srtc ha; standard metal; state hydrogen; storage also; storage bed; storage dr; storage material; storage system; storage workshop; study assess; summer also; summer ha; summer involved; summer manager; summer principal; system dr; system ha; technology center; technology doe; technology involves; technology laboratory; technology wa; three year; transfer enhancement; transit bus; using solid; utilized world; utilized world largest onboard metal hydride storage system dr summer also organized managed project develop industrial fuel cell vehicle using solid state hydrogen storage also managed fuel cell mining vehicle project funded doe oit industry future program currently; vehicle commercial; vehicle project; vehicle using; wa first; wa program; westinghouse savannah; within hydrogen; working group; workshop help; world first; world largest; wsrc since; year experience; year study
"Sur, Sanjib ",millimeterwave; mobile computing; terahertz; wireless networking
"Sutton, Michael",application integral; application integral method experimental mechanic; boundary valve; boundary valve problem; coherent incoherent; computer vision; cracked body; digital image; digital image processing; dr sutton; dr sutton coherent incoherent optic application; element modeling; experimental mechanic; finite element; finite element modeling cracked body; fracture mechanic; image processing; incoherent optic; integral method; method experimental; modeling cracked; optic application; plastic fracture; plastic fracture mechanic; sutton coherent; valve problem
"Taheri-Qazvini, Nader ",glassy dynamic; hybrid material; material; polymer science; soft matter
"Tan, Wenbin",vascular biology
"Tang, Chuanbing",biomaterials; polymer
"Tang, Jijun",algorithm; computational biology; game
"Thatcher, Matt E. ",cost information; economic impact; examines strategic; examines strategic economic impact information technology focus four theme value; focus four; four theme; impact information; information privacy; information technology; offshoring; patent policy; policy design; social cost; social cost information privacy; software patent; software patent policy design; strategic economic; technology focus; theme value
"Tong, Yan",computer interaction; computer vision; especially human; focus computer; human computer; including limited; interaction including; pattern recognition; professor tong; professor tong focus computer vision pattern recognition especially human computer interaction including limited; recognition especially; tong focus; vision pattern
"Tooren, Michel  van",aircraft certification; aircraft concept; aircraft fuselage; alternative aircraft; alternative aircraft concept; based engineering; composite aircraft; composite aircraft fuselage; design automation; dr van; dr van tooren design automation; engineering road; knowledge based; knowledge based engineering; road vehicle; system engineering; system engineering road vehicle aerodynamics; tooren design; van tooren; vehicle aerodynamics
"Uline, Mark J.",biophysics; nucleation; soft matter; statistical mechanic; thermodynamics
"Valafar, Homayoun",artificial intelligence; bioinformatics; computational biology; information processing; machine learning; neural information; neural information processing
"Valtorta, Marco",artificial intelligence
"Van Brunt, Vincent",carnegie mellon; ph; polytechnic; tennessee
"Vargas, Juan",adjunct professor; computer science; dr vargas; dr vargas adjunct professor computer science engineering department; engineering department; professor computer; science engineering; vargas adjunct
"Vidal, Jose M. ",agentbased modeling; artificial intelligence; distributed system; multiagent system
"Viparelli, Enrica",assistant professor; associate professor; civil environmental; civil environmental engineering; columbia; environmental engineering; present associate; present associate professor
"Vitzilaios, Nikolaos (Nikos)",aircraft system; area autonomous; automation; autonomous navigation; autonomous unmanned; broad area; control system; dr vitzilaios; dr vitzilaios broad area autonomous unmanned system robotics; field robotics; intelligent system; machine learning; mechatronics; mobile robot; navigation mobile; operational autonomy; perception autonomous; perception autonomous navigation mobile robot; robot team; system robotics; system uas; unmanned aircraft; unmanned aircraft system uas; unmanned system; vitzilaios broad
"Vogt, Thomas",chemistry; material science; physic
"Wang, Guiren",cancer detection; labonachip; micronanofluidics; superresolution imaging; turbulence mixing
"Wang, Guoan",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Wang, Song",computer vision; image processing; machine learning
"Wang, Xiaofeng",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Wang, Yi",adaptive model; adaptive model integration massive real time data analytics; adaptive modeling; additive manufacturing; alvarez; among others; among others specific focus physic based adaptive modeling; analysis optimization; analysis reduced; analytical method; application multiphysics; based adaptive; bone marrow; cd application; cell enrichment; cfd fem; closed form; computational data; computing visualization; control data; control synthesis; curriculum vitae; curriculum vitae pdf imsel labdr wang computational data enabled science engineering cd application multiphysics multiscale system engineering; data analytics; data driven; data enabled; data mining; discovery; driven multi; enabled science; energy management; engineering cd; engineering data; engineering intelligencel; engineering microfluidics; enrichment bone; experimentation; fem analysis; fidelity multiphysics; fidelity surrogate; fluid structural; focus physic; form modeling; free mesenchymal; goal towards; green computing; green computing visualization system engineering microfluidics nanofluidics; hardware development; high fidelity; high fidelity multiphysics cfd fem analysis reduced order modeling closed form modeling real time simulation; imsel labdr; including engineering; including engineering data mining; including fluid; including fluid structural interaction; including model; including model development; inertial microfluidics; integration massive; intelligencel lee; j garsona; j klarmannc; labdr wang; label free; label free mesenchymal stem cell enrichment bone marrow spiral inertial microfluidics; lai; large scale; large scale system level simulation; level simulation; long term; long term goal towards engineering intelligencel lee; machine learning; management; marrow spiral; massive real; mesenchymal stem; microfluidics nanofluidics; model development; model integration; modeling closed; modeling multidisciplinary; modeling real; multi fidelity; multidisciplinary analysis; multiphysics cfd; multiphysics multiscale; multiscale system; order modeling; others specific; pant j; pant j klarmannc; parameter estimation; pdf imsel; physic based; prabhakarpandiana; process control; process control data driven multi fidelity surrogate modeling multidisciplinary analysis optimization; real time; reduced order; rosanoa; scale system; science engineering; space exploration; specific focus; spiral inertial; stem cell; structural interaction; surrogate modeling; system design; system engineering; system level; term goal; thermal energy; thermal energy management; time data; time simulation; towards engineering; trade space; trade space exploration; uncertainty quantification; visualization system; vitae pdf; wang; wang computational
"Wei, Xiaojun",biomedical engineering; biosensor; functional nanoparticles; nanopore
"Wells, James R.",african american; african american european american patient biomarkers predict gene therapy efficacy recurrent squamous cell carcinoma head neck clinical cancer dec; american european; american patient; analysis hpv; attention biomarkers; biomarkers pathway; biomarkers predict; campusbld garner; cancer dec; carcinoma head; cell carcinoma; clinical cancer; clinical focus; determine presence; different hpv; efficacy recurrent; european american; expression type; expression type hpv hnscc tumor specimen investigate marker specific pathway tumor development; ferry rdprofessor; focus analysis; freshly resected; garner ferry; gene therapy; head neck; hnscc tumor; hpv hnscc; hpv infection; hpv negative; hpv positive; infection freshly; investigate marker; marker specific; may different; medicineva campusbld; neck clinical; negative cancer; particular attention; particular attention biomarkers pathway may different hpv positive hpv negative cancer; pathway may; pathway tumor; patient biomarkers; positive hpv; predict gene; purpose study; rdprofessor well; recurrent squamous; resected tissue; school medicineva; school medicineva campusbld garner ferry rdprofessor well clinical focus analysis hpv infection freshly resected tissue specimen purpose study determine presence; specific pathway; specimen investigate; specimen purpose; squamous cell; study determine; therapy efficacy; tissue specimen; tumor development; tumor specimen; type hpv; well clinical
"White, Ralph E.",california berkeley; cv dr; cv dr whiteph; dr whiteph
